id,YEAR,MONTH,TEMP,PRCP
108,1962,5,53.63,46.77
108,1962,6,64.81,31.11
108,1962,7,71.13,16.13
108,1962,8,69.22,19.89
108,1962,9,62.86,17.22
108,1962,10,50.79,19.35
108,1962,11,39.94,45.55
108,1962,12,32.03,40.32
108,1963,1,20.32,44.08
108,1963,2,39.6,39.28
108,1963,3,40.88,30.64
108,1963,4,44.74,53.88
108,1963,5,58.37,39.78
108,1963,6,61.42,52.77
108,1963,7,71.48,8.6
108,1963,8,71.99,18.28
108,1963,9,66.46,30.55
108,1963,10,54.8,29.03
108,1963,11,39.31,43.88
108,1963,12,25.08,46.23
108,1964,1,24.33,57.52
108,1964,2,23.51,36.78
108,1964,3,32.25,51.07
108,1964,4,44.07,40.55
108,1964,5,55.1,32.25
108,1964,6,60.81,53.33
108,1964,7,73.34,20.43
108,1964,8,68.29,13.44
108,1964,9,58.24,11.11
108,1964,10,50.12,19.89
108,1964,11,35.36,48.88
108,1964,12,31.39,68.27
108,1965,1,32.09,65.87
108,1965,2,35.88,29.46
108,1965,3,37.27,12.9
108,1965,4,50.07,48.33
108,1965,5,54.55,28.22
108,1965,6,64.56,20.83
108,1965,7,73.24,18.55
108,1965,8,70.26,28.22
108,1965,9,56.54,15.0
108,1965,10,53.8,9.68
108,1965,11,43.05,35.0
108,1965,12,30.54,37.09
108,1966,1,31.58,41.12
108,1966,2,32.75,41.07
108,1966,3,41.06,35.48
108,1966,4,48.73,17.5
108,1966,5,61.49,18.55
108,1966,6,64.84,22.5
108,1966,7,74.5,12.9
108,1966,8,72.7,9.68
108,1966,9,66.33,16.66
108,1966,10,48.86,17.74
108,1966,11,41.4,45.0
108,1966,12,31.52,50.8
108,1967,1,35.13,52.41
108,1967,2,37.28,30.35
108,1967,3,40.96,33.06
108,1967,4,43.36,51.66
108,1967,5,56.45,27.42
108,1967,6,64.54,39.16
108,1967,7,77.13,8.06
108,1967,8,77.3,4.84
108,1967,9,67.59,13.33
108,1967,10,50.5,28.22
108,1967,11,39.25,33.89
108,1967,12,26.81,49.19
108,1968,1,28.07,36.29
108,1968,2,38.05,43.1
108,1968,3,44.03,23.38
108,1968,4,45.8,24.16
