Commodity,State,Year,production,domestic_consumption
Electricity,IL,2012,197565362,143540004
Electricity,IN,2012,114695729,105173425
Electricity,KS,2012,44424691,40293476
Electricity,KY,2012,89949689,89048490
Electricity,LA,2012,103407706,84730743
Electricity,MA,2012,35578421,55313324
Electricity,MD,2012,37809744,61813552
Electricity,ME,2012,15048296,11561059
Electricity,MI,2012,108158050,104818191
Electricity,MN,2012,52754433,67988535
Electricity,MO,2012,91804321,82435359
Electricity,MS,2012,54584295,48387675
Electricity,MT,2012,27804782,13863383
Electricity,NC,2012,116681763,128084893
Electricity,ND,2012,36125159,14716956
Electricity,NE,2012,34217292,30827939
Electricity,NH,2012,19222319,10870261
Electricity,NJ,2012,65263408,75052914
Electricity,NM,2012,36635909,23178568
Electricity,NV,2012,35173263,35179918
Electricity,NY,2012,135768244,143162668
Electricity,OH,2012,129745731,152456864
Electricity,OK,2012,77896588,59340624
Electricity,OR,2012,60932730,46688856
Electricity,PA,2012,223419715,144709727
Electricity,RI,2012,8309036,7708334
Electricity,SC,2012,96755682,77780953
Electricity,SD,2012,11473397,11734210
Electricity,TN,2012,77724264,96381472
Electricity,TX,2012,429812510,365104131
Electricity,UT,2012,39402961,29723368
Electricity,VA,2012,70739235,107794985
Electricity,VT,2012,6611786,5510764
Electricity,WA,2012,116835473,92336441
Electricity,WI,2012,63750938,68820090
Electricity,WV,2012,73413405,30817241
Electricity,WY,2012,49588606,16971354
Electricity,AK,2011,6871032.79,6319540
Electricity,AL,2011,156339209.8,88995369
Electricity,AR,2011,61307535.89,47927829
Electricity,AZ,2011,108125356.9,74943645
Electricity,CA,2011,200804842.5,261941700
Electricity,CO,2011,51432554.29,53458285
Electricity,CT,2011,33745220.61,29858993
Electricity,DC,2011,200873.96,11562055
Electricity,DE,2011,6590194.8,11483296
Electricity,FL,2011,221894574.1,225090422
Electricity,GA,2011,124749341.2,136371149
Electricity,HI,2011,10723332.91,9961653
Electricity,IA,2011,56371912.65,45654877
Electricity,ID,2011,16568785.9,23271724
Electricity,IL,2011,199499728,142885567
Electricity,IN,2011,122131414,105818139
Electricity,KS,2011,45359840.12,40760399
Electricity,KY,2011,98350982.18,89538341
Electricity,LA,2011,105490737,86369081
Electricity,MA,2011,38054820.51,55569912
Electricity,MD,2011,41818068.19,63599711
Electricity,ME,2011,15973688.06,11415345
Electricity,MI,2011,109169506.9,105053558
Electricity,MN,2011,53120061.49,68532708
Electricity,MO,2011,94876396.7,84254841
Electricity,MS,2011,51570942.64,49337557
Electricity,MT,2011,30128542.57,13788081
Electricity,NC,2011,118389854.9,131084933
Electricity,ND,2011,35079900.1,13737016
Electricity,NE,2011,36095051,29676084
Electricity,NH,2011,20065941,10868607
Electricity,NJ,2011,64694095.97,76859762
Electricity,NM,2011,38181139.3,23041665
Electricity,NV,2011,31935917.91,33916479
Electricity,NY,2011,137480347,144046609
Electricity,OH,2011,135585804.5,154746310
Electricity,OK,2011,74605713.61,59846794
Electricity,OR,2011,59695164.13,47171446
Electricity,PA,2011,227314722.4,148757238
Electricity,RI,2011,8722272.55,7732420
Electricity,SC,2011,102972567.2,80488546
Electricity,SD,2011,11998885.5,11679600
Electricity,TN,2011,81103862.22,100733329
Electricity,TX,2011,435476923.6,376065116
Electricity,UT,2011,40836150.01,28858946
Electricity,VA,2011,66670859.07,110228265
Electricity,VT,2011,6776218.81,5550184
Electricity,WA,2011,115262600.8,93724917
Electricity,WI,2011,63289343.77,68611622
Electricity,WV,2011,78999623.54,31238753
Electricity,WY,2011,47638470.83,17417762
Electricity,AK,2010,6759576,6247038
Electricity,AL,2010,152150512,90862645
Electricity,AR,2010,61000185,48194285
Electricity,AZ,2010,111750957,72833030
Electricity,CA,2010,204125596,258530892
Electricity,CO,2010,50720792,52917786
Electricity,CT,2010,33349623,30391766
Electricity,DC,2010,199858,11876995
Electricity,DE,2010,5627645,11605932
Electricity,FL,2010,229095935,231209614
Electricity,GA,2010,137576941,140671580
Electricity,HI,2010,10836036,10016509
Electricity,IA,2010,57508721,45445269
Electricity,ID,2010,12024564,22797668
Electricity,IL,2010,201351872,144760674
Electricity,IN,2010,125180739,105994376
Electricity,KS,2010,47923762,40420675
Electricity,KY,2010,98217658,93569426
Electricity,LA,2010,102884940,85079692
Electricity,MA,2010,42804824,57123422
