YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2008,8,WY,Total Electric Power Industry,Petroleum (Barrels),8148
2008,8,WY,Total Electric Power Industry,Natural Gas (Mcf),237259
2008,9,AK,Total Electric Power Industry,Coal (Short Tons),40411
2008,9,AK,Total Electric Power Industry,Petroleum (Barrels),96484
2008,9,AK,Total Electric Power Industry,Natural Gas (Mcf),3790245
2008,9,AL,Total Electric Power Industry,Coal (Short Tons),3020254
2008,9,AL,Total Electric Power Industry,Petroleum (Barrels),21361
2008,9,AL,Total Electric Power Industry,Natural Gas (Mcf),14109489
2008,9,AR,Total Electric Power Industry,Coal (Short Tons),1243889
2008,9,AR,Total Electric Power Industry,Petroleum (Barrels),830
2008,9,AR,Total Electric Power Industry,Natural Gas (Mcf),3255135
2008,9,AZ,Total Electric Power Industry,Coal (Short Tons),1987146
2008,9,AZ,Total Electric Power Industry,Petroleum (Barrels),3344
2008,9,AZ,Total Electric Power Industry,Natural Gas (Mcf),30611468
2008,9,CA,Total Electric Power Industry,Coal (Short Tons),87565
2008,9,CA,Total Electric Power Industry,Petroleum (Barrels),300465
2008,9,CA,Total Electric Power Industry,Natural Gas (Mcf),85496499
2008,9,CO,Total Electric Power Industry,Coal (Short Tons),1444773
2008,9,CO,Total Electric Power Industry,Petroleum (Barrels),4999
2008,9,CO,Total Electric Power Industry,Natural Gas (Mcf),9077627
2008,9,CT,Total Electric Power Industry,Coal (Short Tons),193722
2008,9,CT,Total Electric Power Industry,Petroleum (Barrels),25246
2008,9,CT,Total Electric Power Industry,Natural Gas (Mcf),4554587
2008,9,DC,Total Electric Power Industry,Petroleum (Barrels),2226
2008,9,DE,Total Electric Power Industry,Coal (Short Tons),159770
2008,9,DE,Total Electric Power Industry,Petroleum (Barrels),67170
2008,9,DE,Total Electric Power Industry,Natural Gas (Mcf),1424162
2008,9,FL,Total Electric Power Industry,Coal (Short Tons),2502879
2008,9,FL,Total Electric Power Industry,Petroleum (Barrels),2623850
2008,9,FL,Total Electric Power Industry,Natural Gas (Mcf),78048409
2008,9,GA,Total Electric Power Industry,Coal (Short Tons),3458240
2008,9,GA,Total Electric Power Industry,Petroleum (Barrels),44074
2008,9,GA,Total Electric Power Industry,Natural Gas (Mcf),10682529
2008,9,HI,Total Electric Power Industry,Coal (Short Tons),59023
2008,9,HI,Total Electric Power Industry,Petroleum (Barrels),1154678
2008,9,IA,Total Electric Power Industry,Coal (Short Tons),1924665
2008,9,IA,Total Electric Power Industry,Petroleum (Barrels),21789
2008,9,IA,Total Electric Power Industry,Natural Gas (Mcf),672411
2008,9,ID,Total Electric Power Industry,Coal (Short Tons),1703
2008,9,ID,Total Electric Power Industry,Petroleum (Barrels),15
2008,9,ID,Total Electric Power Industry,Natural Gas (Mcf),1247305
2008,9,IL,Total Electric Power Industry,Coal (Short Tons),4715881
2008,9,IL,Total Electric Power Industry,Petroleum (Barrels),21945
2008,9,IL,Total Electric Power Industry,Natural Gas (Mcf),2864986
2008,9,IN,Total Electric Power Industry,Coal (Short Tons),4844385
2008,9,IN,Total Electric Power Industry,Petroleum (Barrels),19409
2008,9,IN,Total Electric Power Industry,Natural Gas (Mcf),2343344
2008,9,KS,Total Electric Power Industry,Coal (Short Tons),1840524
2008,9,KS,Total Electric Power Industry,Petroleum (Barrels),27561
2008,9,KS,Total Electric Power Industry,Natural Gas (Mcf),1740658
2008,9,KY,Total Electric Power Industry,Coal (Short Tons),3591798
2008,9,KY,Total Electric Power Industry,Petroleum (Barrels),472841
2008,9,KY,Total Electric Power Industry,Natural Gas (Mcf),777681
2008,9,LA,Total Electric Power Industry,Coal (Short Tons),1141639
2008,9,LA,Total Electric Power Industry,Petroleum (Barrels),558089
2008,9,LA,Total Electric Power Industry,Natural Gas (Mcf),32786212
2008,9,MA,Total Electric Power Industry,Coal (Short Tons),378967
2008,9,MA,Total Electric Power Industry,Petroleum (Barrels),351912
2008,9,MA,Total Electric Power Industry,Natural Gas (Mcf),13667406
2008,9,MD,Total Electric Power Industry,Coal (Short Tons),940489
2008,9,MD,Total Electric Power Industry,Petroleum (Barrels),51840
2008,9,MD,Total Electric Power Industry,Natural Gas (Mcf),2252214
2008,9,ME,Total Electric Power Industry,Coal (Short Tons),4591
2008,9,ME,Total Electric Power Industry,Petroleum (Barrels),15360
2008,9,ME,Total Electric Power Industry,Natural Gas (Mcf),5025983
2008,9,MI,Total Electric Power Industry,Coal (Short Tons),2940956
2008,9,MI,Total Electric Power Industry,Petroleum (Barrels),68000
2008,9,MI,Total Electric Power Industry,Natural Gas (Mcf),5366894
2008,9,MN,Total Electric Power Industry,Coal (Short Tons),1533376
2008,9,MN,Total Electric Power Industry,Petroleum (Barrels),38665
2008,9,MN,Total Electric Power Industry,Natural Gas (Mcf),1490090
2008,9,MO,Total Electric Power Industry,Coal (Short Tons),3605064
2008,9,MO,Total Electric Power Industry,Petroleum (Barrels),11609
2008,9,MO,Total Electric Power Industry,Natural Gas (Mcf),2519826
2008,9,MS,Total Electric Power Industry,Coal (Short Tons),731533
2008,9,MS,Total Electric Power Industry,Petroleum (Barrels),41416
2008,9,MS,Total Electric Power Industry,Natural Gas (Mcf),14125237
2008,9,MT,Total Electric Power Industry,Coal (Short Tons),946552
2008,9,MT,Total Electric Power Industry,Petroleum (Barrels),58783
2008,9,MT,Total Electric Power Industry,Natural Gas (Mcf),73549
2008,9,NC,Total Electric Power Industry,Coal (Short Tons),2454036
2008,9,NC,Total Electric Power Industry,Petroleum (Barrels),31589
2008,9,NC,Total Electric Power Industry,Natural Gas (Mcf),3569997
2008,9,ND,Total Electric Power Industry,Coal (Short Tons),2070705
2008,9,ND,Total Electric Power Industry,Petroleum (Barrels),3438
2008,9,ND,Total Electric Power Industry,Natural Gas (Mcf),129
2008,9,NE,Total Electric Power Industry,Coal (Short Tons),1061135
2008,9,NE,Total Electric Power Industry,Petroleum (Barrels),9691
2008,9,NE,Total Electric Power Industry,Natural Gas (Mcf),287753
2008,9,NH,Total Electric Power Industry,Coal (Short Tons),111929
2008,9,NH,Total Electric Power Industry,Petroleum (Barrels),3687
2008,9,NH,Total Electric Power Industry,Natural Gas (Mcf),4460114
2008,9,NJ,Total Electric Power Industry,Coal (Short Tons),406423
2008,9,NJ,Total Electric Power Industry,Petroleum (Barrels),23354
2008,9,NJ,Total Electric Power Industry,Natural Gas (Mcf),16082772
2008,9,NM,Total Electric Power Industry,Coal (Short Tons),1286621
2008,9,NM,Total Electric Power Industry,Petroleum (Barrels),5112
2008,9,NM,Total Electric Power Industry,Natural Gas (Mcf),5366788
2008,9,NV,Total Electric Power Industry,Coal (Short Tons),381728
2008,9,NV,Total Electric Power Industry,Petroleum (Barrels),1517
2008,9,NV,Total Electric Power Industry,Natural Gas (Mcf),17101732
2008,9,NY,Total Electric Power Industry,Coal (Short Tons),742879
2008,9,NY,Total Electric Power Industry,Petroleum (Barrels),264267
2008,9,NY,Total Electric Power Industry,Natural Gas (Mcf),36062547
2008,9,OH,Total Electric Power Industry,Coal (Short Tons),4633226
2008,9,OH,Total Electric Power Industry,Petroleum (Barrels),203914
2008,9,OH,Total Electric Power Industry,Natural Gas (Mcf),1719636
2008,9,OK,Total Electric Power Industry,Coal (Short Tons),1857034
2008,9,OK,Total Electric Power Industry,Petroleum (Barrels),3545
2008,9,OK,Total Electric Power Industry,Natural Gas (Mcf),23494512
2008,9,OR,Total Electric Power Industry,Coal (Short Tons),203808
2008,9,OR,Total Electric Power Industry,Petroleum (Barrels),773
2008,9,OR,Total Electric Power Industry,Natural Gas (Mcf),11313183
2008,9,PA,Total Electric Power Industry,Coal (Short Tons),4160039
2008,9,PA,Total Electric Power Industry,Petroleum (Barrels),133505
2008,9,PA,Total Electric Power Industry,Natural Gas (Mcf),16286018
2008,9,RI,Total Electric Power Industry,Petroleum (Barrels),2599
2008,9,RI,Total Electric Power Industry,Natural Gas (Mcf),4415781
2008,9,SC,Total Electric Power Industry,Coal (Short Tons),1327221
2008,9,SC,Total Electric Power Industry,Petroleum (Barrels),52131
2008,9,SC,Total Electric Power Industry,Natural Gas (Mcf),4021696
2008,9,SD,Total Electric Power Industry,Coal (Short Tons),179930
2008,9,SD,Total Electric Power Industry,Petroleum (Barrels),812
2008,9,SD,Total Electric Power Industry,Natural Gas (Mcf),133757
2008,9,TN,Total Electric Power Industry,Coal (Short Tons),2290044
2008,9,TN,Total Electric Power Industry,Petroleum (Barrels),17805
2008,9,TN,Total Electric Power Industry,Natural Gas (Mcf),655971
2008,9,TX,Total Electric Power Industry,Coal (Short Tons),8916204
2008,9,TX,Total Electric Power Industry,Petroleum (Barrels),150224
2008,9,TX,Total Electric Power Industry,Natural Gas (Mcf),117174759
2008,9,UT,Total Electric Power Industry,Coal (Short Tons),1488712
2008,9,UT,Total Electric Power Industry,Petroleum (Barrels),5052
2008,9,UT,Total Electric Power Industry,Natural Gas (Mcf),5460952
2008,9,VA,Total Electric Power Industry,Coal (Short Tons),969840
2008,9,VA,Total Electric Power Industry,Petroleum (Barrels),90916
2008,9,VA,Total Electric Power Industry,Natural Gas (Mcf),8978471
2008,9,VT,Total Electric Power Industry,Petroleum (Barrels),828
2008,9,VT,Total Electric Power Industry,Natural Gas (Mcf),3552
2008,9,WA,Total Electric Power Industry,Coal (Short Tons),619350
2008,9,WA,Total Electric Power Industry,Petroleum (Barrels),3150
2008,9,WA,Total Electric Power Industry,Natural Gas (Mcf),10501882
2008,9,WI,Total Electric Power Industry,Coal (Short Tons),2027201
2008,9,WI,Total Electric Power Industry,Petroleum (Barrels),124714
2008,9,WI,Total Electric Power Industry,Natural Gas (Mcf),2641148
2008,9,WV,Total Electric Power Industry,Coal (Short Tons),2709027
2008,9,WV,Total Electric Power Industry,Petroleum (Barrels),14097
2008,9,WV,Total Electric Power Industry,Natural Gas (Mcf),165954
2008,9,WY,Total Electric Power Industry,Coal (Short Tons),2308194
2008,9,WY,Total Electric Power Industry,Petroleum (Barrels),2635
2008,9,WY,Total Electric Power Industry,Natural Gas (Mcf),205057
2008,10,AK,Total Electric Power Industry,Coal (Short Tons),42818
2008,10,AK,Total Electric Power Industry,Petroleum (Barrels),111376
2008,10,AK,Total Electric Power Industry,Natural Gas (Mcf),3811940
2008,10,AL,Total Electric Power Industry,Coal (Short Tons),2717796
2008,10,AL,Total Electric Power Industry,Petroleum (Barrels),19674
2008,10,AL,Total Electric Power Industry,Natural Gas (Mcf),14202405
2008,10,AR,Total Electric Power Industry,Coal (Short Tons),1200108
2008,10,AR,Total Electric Power Industry,Petroleum (Barrels),1947
2008,10,AR,Total Electric Power Industry,Natural Gas (Mcf),5280725
2008,10,AZ,Total Electric Power Industry,Coal (Short Tons),1943378
2008,10,AZ,Total Electric Power Industry,Petroleum (Barrels),5501
2008,10,AZ,Total Electric Power Industry,Natural Gas (Mcf),24797693
2008,10,CA,Total Electric Power Industry,Coal (Short Tons),85477
2008,10,CA,Total Electric Power Industry,Petroleum (Barrels),269624
2008,10,CA,Total Electric Power Industry,Natural Gas (Mcf),79869699
2008,10,CO,Total Electric Power Industry,Coal (Short Tons),1365895
2008,10,CO,Total Electric Power Industry,Petroleum (Barrels),1390
2008,10,CO,Total Electric Power Industry,Natural Gas (Mcf),9976246
2008,10,CT,Total Electric Power Industry,Coal (Short Tons),187793
2008,10,CT,Total Electric Power Industry,Petroleum (Barrels),22745
2008,10,CT,Total Electric Power Industry,Natural Gas (Mcf),6463474
2008,10,DC,Total Electric Power Industry,Petroleum (Barrels),8724
2008,10,DE,Total Electric Power Industry,Coal (Short Tons),134910
2008,10,DE,Total Electric Power Industry,Petroleum (Barrels),5089
2008,10,DE,Total Electric Power Industry,Natural Gas (Mcf),420678
2008,10,FL,Total Electric Power Industry,Coal (Short Tons),2143397
2008,10,FL,Total Electric Power Industry,Petroleum (Barrels),1488223
2008,10,FL,Total Electric Power Industry,Natural Gas (Mcf),68878615
2008,10,GA,Total Electric Power Industry,Coal (Short Tons),2647039
2008,10,GA,Total Electric Power Industry,Petroleum (Barrels),51150
2008,10,GA,Total Electric Power Industry,Natural Gas (Mcf),8711369
2008,10,HI,Total Electric Power Industry,Coal (Short Tons),59860
2008,10,HI,Total Electric Power Industry,Petroleum (Barrels),1197416
2008,10,IA,Total Electric Power Industry,Coal (Short Tons),2116799
2008,10,IA,Total Electric Power Industry,Petroleum (Barrels),10220
2008,10,IA,Total Electric Power Industry,Natural Gas (Mcf),1203034
2008,10,ID,Total Electric Power Industry,Coal (Short Tons),2277
2008,10,ID,Total Electric Power Industry,Petroleum (Barrels),18
2008,10,ID,Total Electric Power Industry,Natural Gas (Mcf),1027564
2008,10,IL,Total Electric Power Industry,Coal (Short Tons),4722204
2008,10,IL,Total Electric Power Industry,Petroleum (Barrels),18476
2008,10,IL,Total Electric Power Industry,Natural Gas (Mcf),1391468
2008,10,IN,Total Electric Power Industry,Coal (Short Tons),4721186
2008,10,IN,Total Electric Power Industry,Petroleum (Barrels),19745
2008,10,IN,Total Electric Power Industry,Natural Gas (Mcf),1636722
2008,10,KS,Total Electric Power Industry,Coal (Short Tons),1624915
2008,10,KS,Total Electric Power Industry,Petroleum (Barrels),25152
2008,10,KS,Total Electric Power Industry,Natural Gas (Mcf),1770154
2008,10,KY,Total Electric Power Industry,Coal (Short Tons),3321036
2008,10,KY,Total Electric Power Industry,Petroleum (Barrels),551978
2008,10,KY,Total Electric Power Industry,Natural Gas (Mcf),92126
2008,10,LA,Total Electric Power Industry,Coal (Short Tons),1137102
2008,10,LA,Total Electric Power Industry,Petroleum (Barrels),362222
2008,10,LA,Total Electric Power Industry,Natural Gas (Mcf),31849507
2008,10,MA,Total Electric Power Industry,Coal (Short Tons),420606
2008,10,MA,Total Electric Power Industry,Petroleum (Barrels),211931
2008,10,MA,Total Electric Power Industry,Natural Gas (Mcf),13461891
2008,10,MD,Total Electric Power Industry,Coal (Short Tons),704405
2008,10,MD,Total Electric Power Industry,Petroleum (Barrels),24745
2008,10,MD,Total Electric Power Industry,Natural Gas (Mcf),939618
2008,10,ME,Total Electric Power Industry,Coal (Short Tons),2319
2008,10,ME,Total Electric Power Industry,Petroleum (Barrels),26658
2008,10,ME,Total Electric Power Industry,Natural Gas (Mcf),4578146
2008,10,MI,Total Electric Power Industry,Coal (Short Tons),2822082
2008,10,MI,Total Electric Power Industry,Petroleum (Barrels),48253
2008,10,MI,Total Electric Power Industry,Natural Gas (Mcf),3396965
2008,10,MN,Total Electric Power Industry,Coal (Short Tons),1340465
2008,10,MN,Total Electric Power Industry,Petroleum (Barrels),35362
2008,10,MN,Total Electric Power Industry,Natural Gas (Mcf),1065702
2008,10,MO,Total Electric Power Industry,Coal (Short Tons),3340178
2008,10,MO,Total Electric Power Industry,Petroleum (Barrels),9989
2008,10,MO,Total Electric Power Industry,Natural Gas (Mcf),5320547
2008,10,MS,Total Electric Power Industry,Coal (Short Tons),455213
2008,10,MS,Total Electric Power Industry,Petroleum (Barrels),56740
2008,10,MS,Total Electric Power Industry,Natural Gas (Mcf),14110190
2008,10,MT,Total Electric Power Industry,Coal (Short Tons),1082913
2008,10,MT,Total Electric Power Industry,Petroleum (Barrels),83406
2008,10,MT,Total Electric Power Industry,Natural Gas (Mcf),38219
2008,10,NC,Total Electric Power Industry,Coal (Short Tons),2049846
2008,10,NC,Total Electric Power Industry,Petroleum (Barrels),40843
2008,10,NC,Total Electric Power Industry,Natural Gas (Mcf),3051697
2008,10,ND,Total Electric Power Industry,Coal (Short Tons),2087928
2008,10,ND,Total Electric Power Industry,Petroleum (Barrels),5899
2008,10,ND,Total Electric Power Industry,Natural Gas (Mcf),50
2008,10,NE,Total Electric Power Industry,Coal (Short Tons),920459
2008,10,NE,Total Electric Power Industry,Petroleum (Barrels),24079
2008,10,NE,Total Electric Power Industry,Natural Gas (Mcf),370577
2008,10,NH,Total Electric Power Industry,Coal (Short Tons),122289
2008,10,NH,Total Electric Power Industry,Petroleum (Barrels),1663
2008,10,NH,Total Electric Power Industry,Natural Gas (Mcf),4027388
2008,10,NJ,Total Electric Power Industry,Coal (Short Tons),271974
2008,10,NJ,Total Electric Power Industry,Petroleum (Barrels),21441
2008,10,NJ,Total Electric Power Industry,Natural Gas (Mcf),9900194
2008,10,NM,Total Electric Power Industry,Coal (Short Tons),1377692
2008,10,NM,Total Electric Power Industry,Petroleum (Barrels),5715
2008,10,NM,Total Electric Power Industry,Natural Gas (Mcf),6407645
2008,10,NV,Total Electric Power Industry,Coal (Short Tons),317785
2008,10,NV,Total Electric Power Industry,Petroleum (Barrels),4589
2008,10,NV,Total Electric Power Industry,Natural Gas (Mcf),14983205
2008,10,NY,Total Electric Power Industry,Coal (Short Tons),689405
2008,10,NY,Total Electric Power Industry,Petroleum (Barrels),111803
2008,10,NY,Total Electric Power Industry,Natural Gas (Mcf),32463856
2008,10,OH,Total Electric Power Industry,Coal (Short Tons),4643459
2008,10,OH,Total Electric Power Industry,Petroleum (Barrels),217658
2008,10,OH,Total Electric Power Industry,Natural Gas (Mcf),279330
2008,10,OK,Total Electric Power Industry,Coal (Short Tons),1744622
2008,10,OK,Total Electric Power Industry,Petroleum (Barrels),868
2008,10,OK,Total Electric Power Industry,Natural Gas (Mcf),23070001
2008,10,OR,Total Electric Power Industry,Coal (Short Tons),241803
2008,10,OR,Total Electric Power Industry,Petroleum (Barrels),298
2008,10,OR,Total Electric Power Industry,Natural Gas (Mcf),11729759
2008,10,PA,Total Electric Power Industry,Coal (Short Tons),4280234
2008,10,PA,Total Electric Power Industry,Petroleum (Barrels),70361
2008,10,PA,Total Electric Power Industry,Natural Gas (Mcf),13962246
2008,10,RI,Total Electric Power Industry,Petroleum (Barrels),1308
2008,10,RI,Total Electric Power Industry,Natural Gas (Mcf),4854376
2008,10,SC,Total Electric Power Industry,Coal (Short Tons),1057828
2008,10,SC,Total Electric Power Industry,Petroleum (Barrels),74710
2008,10,SC,Total Electric Power Industry,Natural Gas (Mcf),3848771
2008,10,SD,Total Electric Power Industry,Coal (Short Tons),204764
2008,10,SD,Total Electric Power Industry,Petroleum (Barrels),233
2008,10,SD,Total Electric Power Industry,Natural Gas (Mcf),8492
2008,10,TN,Total Electric Power Industry,Coal (Short Tons),2093412
2008,10,TN,Total Electric Power Industry,Petroleum (Barrels),15784
2008,10,TN,Total Electric Power Industry,Natural Gas (Mcf),76259
2008,10,TX,Total Electric Power Industry,Coal (Short Tons),8054050
2008,10,TX,Total Electric Power Industry,Petroleum (Barrels),161137
2008,10,TX,Total Electric Power Industry,Natural Gas (Mcf),111320339
2008,10,UT,Total Electric Power Industry,Coal (Short Tons),1502936
2008,10,UT,Total Electric Power Industry,Petroleum (Barrels),7530
2008,10,UT,Total Electric Power Industry,Natural Gas (Mcf),4953346
2008,10,VA,Total Electric Power Industry,Coal (Short Tons),836472
2008,10,VA,Total Electric Power Industry,Petroleum (Barrels),41768
2008,10,VA,Total Electric Power Industry,Natural Gas (Mcf),5029705
2008,10,VT,Total Electric Power Industry,Petroleum (Barrels),526
2008,10,VT,Total Electric Power Industry,Natural Gas (Mcf),4528
2008,10,WA,Total Electric Power Industry,Coal (Short Tons),672914
2008,10,WA,Total Electric Power Industry,Petroleum (Barrels),1333
2008,10,WA,Total Electric Power Industry,Natural Gas (Mcf),5464490
2008,10,WI,Total Electric Power Industry,Coal (Short Tons),1914263
2008,10,WI,Total Electric Power Industry,Petroleum (Barrels),133314
2008,10,WI,Total Electric Power Industry,Natural Gas (Mcf),4301972
2008,10,WV,Total Electric Power Industry,Coal (Short Tons),2589436
2008,10,WV,Total Electric Power Industry,Petroleum (Barrels),16272
2008,10,WV,Total Electric Power Industry,Natural Gas (Mcf),63157
2008,10,WY,Total Electric Power Industry,Coal (Short Tons),2170443
2008,10,WY,Total Electric Power Industry,Petroleum (Barrels),6137
2008,10,WY,Total Electric Power Industry,Natural Gas (Mcf),265708
2008,11,AK,Total Electric Power Industry,Coal (Short Tons),41461
2008,11,AK,Total Electric Power Industry,Petroleum (Barrels),134142
2008,11,AK,Total Electric Power Industry,Natural Gas (Mcf),3961911
2008,11,AL,Total Electric Power Industry,Coal (Short Tons),2695757
2008,11,AL,Total Electric Power Industry,Petroleum (Barrels),21047
2008,11,AL,Total Electric Power Industry,Natural Gas (Mcf),16302204
2008,11,AR,Total Electric Power Industry,Coal (Short Tons),1457612
2008,11,AR,Total Electric Power Industry,Petroleum (Barrels),13941
2008,11,AR,Total Electric Power Industry,Natural Gas (Mcf),3308143
2008,11,AZ,Total Electric Power Industry,Coal (Short Tons),1822133
2008,11,AZ,Total Electric Power Industry,Petroleum (Barrels),8694
2008,11,AZ,Total Electric Power Industry,Natural Gas (Mcf),16672303
2008,11,CA,Total Electric Power Industry,Coal (Short Tons),79220
2008,11,CA,Total Electric Power Industry,Petroleum (Barrels),312141
2008,11,CA,Total Electric Power Industry,Natural Gas (Mcf),70174694
2008,11,CO,Total Electric Power Industry,Coal (Short Tons),1452929
2008,11,CO,Total Electric Power Industry,Petroleum (Barrels),3812
2008,11,CO,Total Electric Power Industry,Natural Gas (Mcf),8407683
2008,11,CT,Total Electric Power Industry,Coal (Short Tons),167396
2008,11,CT,Total Electric Power Industry,Petroleum (Barrels),24571
2008,11,CT,Total Electric Power Industry,Natural Gas (Mcf),4128657
2008,11,DC,Total Electric Power Industry,Petroleum (Barrels),0
2008,11,DE,Total Electric Power Industry,Coal (Short Tons),228850
2008,11,DE,Total Electric Power Industry,Petroleum (Barrels),3793
2008,11,DE,Total Electric Power Industry,Natural Gas (Mcf),723295
2008,11,FL,Total Electric Power Industry,Coal (Short Tons),1960244
2008,11,FL,Total Electric Power Industry,Petroleum (Barrels),1172384
2008,11,FL,Total Electric Power Industry,Natural Gas (Mcf),52670338
2008,11,GA,Total Electric Power Industry,Coal (Short Tons),2655372
2008,11,GA,Total Electric Power Industry,Petroleum (Barrels),56349
2008,11,GA,Total Electric Power Industry,Natural Gas (Mcf),8025180
2008,11,HI,Total Electric Power Industry,Coal (Short Tons),64744
2008,11,HI,Total Electric Power Industry,Petroleum (Barrels),1078278
2008,11,IA,Total Electric Power Industry,Coal (Short Tons),2029315
2008,11,IA,Total Electric Power Industry,Petroleum (Barrels),7211
2008,11,IA,Total Electric Power Industry,Natural Gas (Mcf),1413801
2008,11,ID,Total Electric Power Industry,Coal (Short Tons),2655
2008,11,ID,Total Electric Power Industry,Petroleum (Barrels),20
2008,11,ID,Total Electric Power Industry,Natural Gas (Mcf),803203
2008,11,IL,Total Electric Power Industry,Coal (Short Tons),4697495
2008,11,IL,Total Electric Power Industry,Petroleum (Barrels),23560
2008,11,IL,Total Electric Power Industry,Natural Gas (Mcf),1340979
2008,11,IN,Total Electric Power Industry,Coal (Short Tons),4705121
2008,11,IN,Total Electric Power Industry,Petroleum (Barrels),27268
2008,11,IN,Total Electric Power Industry,Natural Gas (Mcf),1857963
2008,11,KS,Total Electric Power Industry,Coal (Short Tons),1699108
2008,11,KS,Total Electric Power Industry,Petroleum (Barrels),20814
2008,11,KS,Total Electric Power Industry,Natural Gas (Mcf),2163081
2008,11,KY,Total Electric Power Industry,Coal (Short Tons),3602959
2008,11,KY,Total Electric Power Industry,Petroleum (Barrels),416584
2008,11,KY,Total Electric Power Industry,Natural Gas (Mcf),260822
2008,11,LA,Total Electric Power Industry,Coal (Short Tons),1210924
2008,11,LA,Total Electric Power Industry,Petroleum (Barrels),320848
2008,11,LA,Total Electric Power Industry,Natural Gas (Mcf),26810312
2008,11,MA,Total Electric Power Industry,Coal (Short Tons),459812
2008,11,MA,Total Electric Power Industry,Petroleum (Barrels),242643
2008,11,MA,Total Electric Power Industry,Natural Gas (Mcf),14024891
2008,11,MD,Total Electric Power Industry,Coal (Short Tons),775186
2008,11,MD,Total Electric Power Industry,Petroleum (Barrels),30652
2008,11,MD,Total Electric Power Industry,Natural Gas (Mcf),1973350
2008,11,ME,Total Electric Power Industry,Coal (Short Tons),2022
2008,11,ME,Total Electric Power Industry,Petroleum (Barrels),51813
2008,11,ME,Total Electric Power Industry,Natural Gas (Mcf),5400402
2008,11,MI,Total Electric Power Industry,Coal (Short Tons),3038479
2008,11,MI,Total Electric Power Industry,Petroleum (Barrels),60189
2008,11,MI,Total Electric Power Industry,Natural Gas (Mcf),3616410
2008,11,MN,Total Electric Power Industry,Coal (Short Tons),1426339
2008,11,MN,Total Electric Power Industry,Petroleum (Barrels),44478
2008,11,MN,Total Electric Power Industry,Natural Gas (Mcf),1777452
2008,11,MO,Total Electric Power Industry,Coal (Short Tons),3066414
2008,11,MO,Total Electric Power Industry,Petroleum (Barrels),7930
2008,11,MO,Total Electric Power Industry,Natural Gas (Mcf),4582424
2008,11,MS,Total Electric Power Industry,Coal (Short Tons),480574
2008,11,MS,Total Electric Power Industry,Petroleum (Barrels),1363
2008,11,MS,Total Electric Power Industry,Natural Gas (Mcf),11561424
2008,11,MT,Total Electric Power Industry,Coal (Short Tons),1073210
2008,11,MT,Total Electric Power Industry,Petroleum (Barrels),78290
2008,11,MT,Total Electric Power Industry,Natural Gas (Mcf),34857
2008,11,NC,Total Electric Power Industry,Coal (Short Tons),2362684
2008,11,NC,Total Electric Power Industry,Petroleum (Barrels),70815
2008,11,NC,Total Electric Power Industry,Natural Gas (Mcf),2884736
2008,11,ND,Total Electric Power Industry,Coal (Short Tons),2241391
2008,11,ND,Total Electric Power Industry,Petroleum (Barrels),4176
2008,11,ND,Total Electric Power Industry,Natural Gas (Mcf),21
2008,11,NE,Total Electric Power Industry,Coal (Short Tons),918433
2008,11,NE,Total Electric Power Industry,Petroleum (Barrels),4151
2008,11,NE,Total Electric Power Industry,Natural Gas (Mcf),668903
2008,11,NH,Total Electric Power Industry,Coal (Short Tons),135942
2008,11,NH,Total Electric Power Industry,Petroleum (Barrels),838
2008,11,NH,Total Electric Power Industry,Natural Gas (Mcf),4250433
2008,11,NJ,Total Electric Power Industry,Coal (Short Tons),211842
2008,11,NJ,Total Electric Power Industry,Petroleum (Barrels),24407
2008,11,NJ,Total Electric Power Industry,Natural Gas (Mcf),11146456
2008,11,NM,Total Electric Power Industry,Coal (Short Tons),1404745
2008,11,NM,Total Electric Power Industry,Petroleum (Barrels),8848
2008,11,NM,Total Electric Power Industry,Natural Gas (Mcf),4915143
2008,11,NV,Total Electric Power Industry,Coal (Short Tons),368816
2008,11,NV,Total Electric Power Industry,Petroleum (Barrels),2374
2008,11,NV,Total Electric Power Industry,Natural Gas (Mcf),13237948
2008,11,NY,Total Electric Power Industry,Coal (Short Tons),650657
2008,11,NY,Total Electric Power Industry,Petroleum (Barrels),605406
2008,11,NY,Total Electric Power Industry,Natural Gas (Mcf),27273531
2008,11,OH,Total Electric Power Industry,Coal (Short Tons),4677603
2008,11,OH,Total Electric Power Industry,Petroleum (Barrels),208754
2008,11,OH,Total Electric Power Industry,Natural Gas (Mcf),1066408
2008,11,OK,Total Electric Power Industry,Coal (Short Tons),1780558
2008,11,OK,Total Electric Power Industry,Petroleum (Barrels),2805
2008,11,OK,Total Electric Power Industry,Natural Gas (Mcf),18027729
2008,11,OR,Total Electric Power Industry,Coal (Short Tons),237431
2008,11,OR,Total Electric Power Industry,Petroleum (Barrels),169
2008,11,OR,Total Electric Power Industry,Natural Gas (Mcf),10639745
2008,11,PA,Total Electric Power Industry,Coal (Short Tons),4172564
2008,11,PA,Total Electric Power Industry,Petroleum (Barrels),109044
2008,11,PA,Total Electric Power Industry,Natural Gas (Mcf),9134660
2008,11,RI,Total Electric Power Industry,Petroleum (Barrels),2571
2008,11,RI,Total Electric Power Industry,Natural Gas (Mcf),3372152
2008,11,SC,Total Electric Power Industry,Coal (Short Tons),1227622
2008,11,SC,Total Electric Power Industry,Petroleum (Barrels),14067
