YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,2,KS,Total Electric Power Industry,Natural Gas (Mcf),722914
2001,2,KY,Total Electric Power Industry,Coal (Short Tons),3336543
2001,2,KY,Total Electric Power Industry,Petroleum (Barrels),13819
2001,2,KY,Total Electric Power Industry,Natural Gas (Mcf),211998
2001,2,LA,Total Electric Power Industry,Coal (Short Tons),946827
2001,2,LA,Total Electric Power Industry,Petroleum (Barrels),736453
2001,2,LA,Total Electric Power Industry,Natural Gas (Mcf),23591431
2001,2,MA,Total Electric Power Industry,Coal (Short Tons),382702
2001,2,MA,Total Electric Power Industry,Petroleum (Barrels),1561905
2001,2,MA,Total Electric Power Industry,Natural Gas (Mcf),4539340
2001,2,MD,Total Electric Power Industry,Coal (Short Tons),954720
2001,2,MD,Total Electric Power Industry,Petroleum (Barrels),459390
2001,2,MD,Total Electric Power Industry,Natural Gas (Mcf),548128
2001,2,ME,Total Electric Power Industry,Coal (Short Tons),14000
2001,2,ME,Total Electric Power Industry,Petroleum (Barrels),499610
2001,2,ME,Total Electric Power Industry,Natural Gas (Mcf),4424460
2001,2,MI,Total Electric Power Industry,Coal (Short Tons),2657271
2001,2,MI,Total Electric Power Industry,Petroleum (Barrels),27129
2001,2,MI,Total Electric Power Industry,Natural Gas (Mcf),6801684
2001,2,MN,Total Electric Power Industry,Coal (Short Tons),1603459
2001,2,MN,Total Electric Power Industry,Petroleum (Barrels),138578
2001,2,MN,Total Electric Power Industry,Natural Gas (Mcf),868707
2001,2,MO,Total Electric Power Industry,Coal (Short Tons),3090046
2001,2,MO,Total Electric Power Industry,Petroleum (Barrels),94325
2001,2,MO,Total Electric Power Industry,Natural Gas (Mcf),661460
2001,2,MS,Total Electric Power Industry,Coal (Short Tons),440177
2001,2,MS,Total Electric Power Industry,Petroleum (Barrels),1075747
2001,2,MS,Total Electric Power Industry,Natural Gas (Mcf),2320176
2001,2,MT,Total Electric Power Industry,Coal (Short Tons),929063
2001,2,MT,Total Electric Power Industry,Petroleum (Barrels),75386
2001,2,MT,Total Electric Power Industry,Natural Gas (Mcf),18253
2001,2,NC,Total Electric Power Industry,Coal (Short Tons),2098918
2001,2,NC,Total Electric Power Industry,Petroleum (Barrels),87030
2001,2,NC,Total Electric Power Industry,Natural Gas (Mcf),126370
2001,2,ND,Total Electric Power Industry,Coal (Short Tons),2065361
2001,2,ND,Total Electric Power Industry,Petroleum (Barrels),9372
2001,2,ND,Total Electric Power Industry,Natural Gas (Mcf),1170
2001,2,NE,Total Electric Power Industry,Coal (Short Tons),958727
2001,2,NE,Total Electric Power Industry,Petroleum (Barrels),5512
2001,2,NE,Total Electric Power Industry,Natural Gas (Mcf),84487
2001,2,NH,Total Electric Power Industry,Coal (Short Tons),130296
2001,2,NH,Total Electric Power Industry,Petroleum (Barrels),23738
2001,2,NH,Total Electric Power Industry,Natural Gas (Mcf),60370
2001,2,NJ,Total Electric Power Industry,Coal (Short Tons),425527
2001,2,NJ,Total Electric Power Industry,Petroleum (Barrels),174936
2001,2,NJ,Total Electric Power Industry,Natural Gas (Mcf),7265162
2001,2,NM,Total Electric Power Industry,Coal (Short Tons),1317250
2001,2,NM,Total Electric Power Industry,Petroleum (Barrels),20779
2001,2,NM,Total Electric Power Industry,Natural Gas (Mcf),3800658
2001,2,NV,Total Electric Power Industry,Coal (Short Tons),669521
2001,2,NV,Total Electric Power Industry,Petroleum (Barrels),166867
2001,2,NV,Total Electric Power Industry,Natural Gas (Mcf),10017010
2001,2,NY,Total Electric Power Industry,Coal (Short Tons),868574
2001,2,NY,Total Electric Power Industry,Petroleum (Barrels),3340102
2001,2,NY,Total Electric Power Industry,Natural Gas (Mcf),15121496
2001,2,OH,Total Electric Power Industry,Coal (Short Tons),4299761
2001,2,OH,Total Electric Power Industry,Petroleum (Barrels),39637
2001,2,OH,Total Electric Power Industry,Natural Gas (Mcf),375677
2001,2,OK,Total Electric Power Industry,Coal (Short Tons),1758014
2001,2,OK,Total Electric Power Industry,Petroleum (Barrels),7854
2001,2,OK,Total Electric Power Industry,Natural Gas (Mcf),7258342
2001,2,OR,Total Electric Power Industry,Coal (Short Tons),209360
2001,2,OR,Total Electric Power Industry,Petroleum (Barrels),72912
2001,2,OR,Total Electric Power Industry,Natural Gas (Mcf),7693415
2001,2,PA,Total Electric Power Industry,Coal (Short Tons),3709166
2001,2,PA,Total Electric Power Industry,Petroleum (Barrels),196117
2001,2,PA,Total Electric Power Industry,Natural Gas (Mcf),898012
2001,2,RI,Total Electric Power Industry,Petroleum (Barrels),13570
2001,2,RI,Total Electric Power Industry,Natural Gas (Mcf),3522100
2001,2,SC,Total Electric Power Industry,Coal (Short Tons),1187064
2001,2,SC,Total Electric Power Industry,Petroleum (Barrels),62890
2001,2,SC,Total Electric Power Industry,Natural Gas (Mcf),251333
2001,2,SD,Total Electric Power Industry,Coal (Short Tons),190800
2001,2,SD,Total Electric Power Industry,Petroleum (Barrels),25400
2001,2,SD,Total Electric Power Industry,Natural Gas (Mcf),302110
2001,2,TN,Total Electric Power Industry,Coal (Short Tons),1813857
2001,2,TN,Total Electric Power Industry,Petroleum (Barrels),56386
2001,2,TN,Total Electric Power Industry,Natural Gas (Mcf),150810
2001,2,TX,Total Electric Power Industry,Coal (Short Tons),7200569
2001,2,TX,Total Electric Power Industry,Petroleum (Barrels),625012
2001,2,TX,Total Electric Power Industry,Natural Gas (Mcf),100979659
2001,2,UT,Total Electric Power Industry,Coal (Short Tons),1150870
2001,2,UT,Total Electric Power Industry,Petroleum (Barrels),7749
2001,2,UT,Total Electric Power Industry,Natural Gas (Mcf),1651549
2001,2,VA,Total Electric Power Industry,Coal (Short Tons),1225213
2001,2,VA,Total Electric Power Industry,Petroleum (Barrels),525230
2001,2,VA,Total Electric Power Industry,Natural Gas (Mcf),809796
2001,2,VT,Total Electric Power Industry,Petroleum (Barrels),8237
2001,2,VT,Total Electric Power Industry,Natural Gas (Mcf),2557
2001,2,WA,Total Electric Power Industry,Coal (Short Tons),491860
2001,2,WA,Total Electric Power Industry,Petroleum (Barrels),71705
2001,2,WA,Total Electric Power Industry,Natural Gas (Mcf),8766447
2001,2,WI,Total Electric Power Industry,Coal (Short Tons),1892608
2001,2,WI,Total Electric Power Industry,Petroleum (Barrels),82179
2001,2,WI,Total Electric Power Industry,Natural Gas (Mcf),1944273
2001,2,WV,Total Electric Power Industry,Coal (Short Tons),2938659
2001,2,WV,Total Electric Power Industry,Petroleum (Barrels),41343
2001,2,WV,Total Electric Power Industry,Natural Gas (Mcf),130189
2001,2,WY,Total Electric Power Industry,Coal (Short Tons),2207303
2001,2,WY,Total Electric Power Industry,Petroleum (Barrels),4484
2001,2,WY,Total Electric Power Industry,Natural Gas (Mcf),589325
2001,3,AK,Total Electric Power Industry,Coal (Short Tons),56351
2001,3,AK,Total Electric Power Industry,Petroleum (Barrels),164922
2001,3,AK,Total Electric Power Industry,Natural Gas (Mcf),3910125
2001,3,AL,Total Electric Power Industry,Coal (Short Tons),2681773
2001,3,AL,Total Electric Power Industry,Petroleum (Barrels),80917
2001,3,AL,Total Electric Power Industry,Natural Gas (Mcf),5681880
2001,3,AR,Total Electric Power Industry,Coal (Short Tons),872987
2001,3,AR,Total Electric Power Industry,Petroleum (Barrels),101934
2001,3,AR,Total Electric Power Industry,Natural Gas (Mcf),1501996
2001,3,AZ,Total Electric Power Industry,Coal (Short Tons),1471809
2001,3,AZ,Total Electric Power Industry,Petroleum (Barrels),107962
2001,3,AZ,Total Electric Power Industry,Natural Gas (Mcf),10715324
2001,3,CA,Total Electric Power Industry,Coal (Short Tons),43270
2001,3,CA,Total Electric Power Industry,Petroleum (Barrels),598567
2001,3,CA,Total Electric Power Industry,Natural Gas (Mcf),87836609
2001,3,CO,Total Electric Power Industry,Coal (Short Tons),1553114
2001,3,CO,Total Electric Power Industry,Petroleum (Barrels),56944
2001,3,CO,Total Electric Power Industry,Natural Gas (Mcf),8397744
2001,3,CT,Total Electric Power Industry,Coal (Short Tons),150450
2001,3,CT,Total Electric Power Industry,Petroleum (Barrels),1318521
2001,3,CT,Total Electric Power Industry,Natural Gas (Mcf),2481260
2001,3,DC,Total Electric Power Industry,Petroleum (Barrels),0
2001,3,DE,Total Electric Power Industry,Coal (Short Tons),200441
2001,3,DE,Total Electric Power Industry,Petroleum (Barrels),383708
2001,3,DE,Total Electric Power Industry,Natural Gas (Mcf),1109145
2001,3,FL,Total Electric Power Industry,Coal (Short Tons),2160492
2001,3,FL,Total Electric Power Industry,Petroleum (Barrels),4437397
2001,3,FL,Total Electric Power Industry,Natural Gas (Mcf),22505887
2001,3,GA,Total Electric Power Industry,Coal (Short Tons),2619627
2001,3,GA,Total Electric Power Industry,Petroleum (Barrels),176669
2001,3,GA,Total Electric Power Industry,Natural Gas (Mcf),963814
2001,3,HI,Total Electric Power Industry,Coal (Short Tons),61420
2001,3,HI,Total Electric Power Industry,Petroleum (Barrels),1168695
2001,3,HI,Total Electric Power Industry,Natural Gas (Mcf),0
2001,3,IA,Total Electric Power Industry,Coal (Short Tons),1870836
2001,3,IA,Total Electric Power Industry,Petroleum (Barrels),23768
2001,3,IA,Total Electric Power Industry,Natural Gas (Mcf),594120
2001,3,ID,Total Electric Power Industry,Coal (Short Tons),2670
2001,3,ID,Total Electric Power Industry,Petroleum (Barrels),1600
2001,3,ID,Total Electric Power Industry,Natural Gas (Mcf),237140
2001,3,IL,Total Electric Power Industry,Coal (Short Tons),3617251
2001,3,IL,Total Electric Power Industry,Petroleum (Barrels),363428
2001,3,IL,Total Electric Power Industry,Natural Gas (Mcf),1930082
2001,3,IN,Total Electric Power Industry,Coal (Short Tons),4686589
2001,3,IN,Total Electric Power Industry,Petroleum (Barrels),43297
2001,3,IN,Total Electric Power Industry,Natural Gas (Mcf),1529874
2001,3,KS,Total Electric Power Industry,Coal (Short Tons),1513649
2001,3,KS,Total Electric Power Industry,Petroleum (Barrels),148401
2001,3,KS,Total Electric Power Industry,Natural Gas (Mcf),1038878
2001,3,KY,Total Electric Power Industry,Coal (Short Tons),3562304
2001,3,KY,Total Electric Power Industry,Petroleum (Barrels),15373
2001,3,KY,Total Electric Power Industry,Natural Gas (Mcf),363764
2001,3,LA,Total Electric Power Industry,Coal (Short Tons),874687
2001,3,LA,Total Electric Power Industry,Petroleum (Barrels),654901
2001,3,LA,Total Electric Power Industry,Natural Gas (Mcf),26244404
2001,3,MA,Total Electric Power Industry,Coal (Short Tons),416744
2001,3,MA,Total Electric Power Industry,Petroleum (Barrels),1547366
2001,3,MA,Total Electric Power Industry,Natural Gas (Mcf),7047540
2001,3,MD,Total Electric Power Industry,Coal (Short Tons),693170
2001,3,MD,Total Electric Power Industry,Petroleum (Barrels),751769
2001,3,MD,Total Electric Power Industry,Natural Gas (Mcf),1369768
2001,3,ME,Total Electric Power Industry,Coal (Short Tons),14900
2001,3,ME,Total Electric Power Industry,Petroleum (Barrels),239880
2001,3,ME,Total Electric Power Industry,Natural Gas (Mcf),4623970
2001,3,MI,Total Electric Power Industry,Coal (Short Tons),2769498
2001,3,MI,Total Electric Power Industry,Petroleum (Barrels),93121
2001,3,MI,Total Electric Power Industry,Natural Gas (Mcf),7861982
2001,3,MN,Total Electric Power Industry,Coal (Short Tons),1455720
2001,3,MN,Total Electric Power Industry,Petroleum (Barrels),149990
2001,3,MN,Total Electric Power Industry,Natural Gas (Mcf),908538
2001,3,MO,Total Electric Power Industry,Coal (Short Tons),2858281
2001,3,MO,Total Electric Power Industry,Petroleum (Barrels),72550
2001,3,MO,Total Electric Power Industry,Natural Gas (Mcf),1417974
2001,3,MS,Total Electric Power Industry,Coal (Short Tons),802652
2001,3,MS,Total Electric Power Industry,Petroleum (Barrels),729810
2001,3,MS,Total Electric Power Industry,Natural Gas (Mcf),4955348
2001,3,MT,Total Electric Power Industry,Coal (Short Tons),888025
2001,3,MT,Total Electric Power Industry,Petroleum (Barrels),84365
2001,3,MT,Total Electric Power Industry,Natural Gas (Mcf),21697
2001,3,NC,Total Electric Power Industry,Coal (Short Tons),2528974
2001,3,NC,Total Electric Power Industry,Petroleum (Barrels),168663
2001,3,NC,Total Electric Power Industry,Natural Gas (Mcf),208649
2001,3,ND,Total Electric Power Industry,Coal (Short Tons),2223340
2001,3,ND,Total Electric Power Industry,Petroleum (Barrels),8382
2001,3,ND,Total Electric Power Industry,Natural Gas (Mcf),2110
2001,3,NE,Total Electric Power Industry,Coal (Short Tons),1142357
2001,3,NE,Total Electric Power Industry,Petroleum (Barrels),6752
2001,3,NE,Total Electric Power Industry,Natural Gas (Mcf),272447
2001,3,NH,Total Electric Power Industry,Coal (Short Tons),130480
2001,3,NH,Total Electric Power Industry,Petroleum (Barrels),29194
2001,3,NH,Total Electric Power Industry,Natural Gas (Mcf),63240
2001,3,NJ,Total Electric Power Industry,Coal (Short Tons),215286
2001,3,NJ,Total Electric Power Industry,Petroleum (Barrels),279504
2001,3,NJ,Total Electric Power Industry,Natural Gas (Mcf),10839513
2001,3,NM,Total Electric Power Industry,Coal (Short Tons),1202221
2001,3,NM,Total Electric Power Industry,Petroleum (Barrels),9968
2001,3,NM,Total Electric Power Industry,Natural Gas (Mcf),4616220
2001,3,NV,Total Electric Power Industry,Coal (Short Tons),650604
2001,3,NV,Total Electric Power Industry,Petroleum (Barrels),180105
2001,3,NV,Total Electric Power Industry,Natural Gas (Mcf),10016307
2001,3,NY,Total Electric Power Industry,Coal (Short Tons),901433
2001,3,NY,Total Electric Power Industry,Petroleum (Barrels),3518755
2001,3,NY,Total Electric Power Industry,Natural Gas (Mcf),16671060
2001,3,OH,Total Electric Power Industry,Coal (Short Tons),4775004
2001,3,OH,Total Electric Power Industry,Petroleum (Barrels),86163
2001,3,OH,Total Electric Power Industry,Natural Gas (Mcf),675351
2001,3,OK,Total Electric Power Industry,Coal (Short Tons),1423963
2001,3,OK,Total Electric Power Industry,Petroleum (Barrels),2329
2001,3,OK,Total Electric Power Industry,Natural Gas (Mcf),9909215
2001,3,OR,Total Electric Power Industry,Coal (Short Tons),236314
2001,3,OR,Total Electric Power Industry,Petroleum (Barrels),2642
2001,3,OR,Total Electric Power Industry,Natural Gas (Mcf),6096409
2001,3,PA,Total Electric Power Industry,Coal (Short Tons),4298580
2001,3,PA,Total Electric Power Industry,Petroleum (Barrels),478840
2001,3,PA,Total Electric Power Industry,Natural Gas (Mcf),1251793
